run,window,elapsed_s,n_ok,loss,min_ms,p50_ms,p95_ms,p99_ms,max_ms,mean_ms
after-v1.2.2,67,670.0,50,0,3.623,4.671,75.636,155.561,155.561,14.999
after-v1.2.2,68,680.0,50,0,3.946,13.597,73.097,93.526,93.526,23.054
after-v1.2.2,69,690.0,50,0,3.571,6.508,70.449,78.907,78.907,13.979
after-v1.2.2,70,700.0,50,0,3.589,4.754,49.431,63.73,63.73,9.297
after-v1.2.2,71,710.0,50,0,3.623,5.508,59.556,70.666,70.666,10.637
after-v1.2.2,72,720.0,50,0,3.705,4.366,63.769,72.12,72.12,10.857
after-v1.2.2,73,730.0,50,0,3.701,5.424,66.732,80.248,80.248,12.578
after-v1.2.2,74,740.0,50,0,3.675,5.98,65.944,74.307,74.307,12.431
after-v1.2.2,75,750.0,50,0,3.699,5.44,49.126,73.026,73.026,10.432
after-v1.2.2,76,760.0,50,0,3.776,5.769,46.716,71.49,71.49,10.686
after-v1.2.2,77,770.0,50,0,3.766,5.436,52.703,60.412,60.412,9.882
after-v1.2.2,78,780.0,50,0,3.751,4.152,49.236,76.419,76.419,11.283
after-v1.2.2,79,790.0,50,0,3.834,5.305,69.206,86.423,86.423,14.787
after-v1.2.2,80,800.0,50,0,3.657,4.731,59.29,80.763,80.763,11.504
after-v1.2.2,81,810.0,50,0,3.598,4.257,43.62,54.834,54.834,8.916
after-v1.2.2,82,820.0,50,0,3.701,4.636,73.18,98.797,98.797,14.503
after-v1.2.2,83,830.0,50,0,3.599,4.571,65.286,73.896,73.896,11.47
after-v1.2.2,84,840.0,50,0,3.658,4.544,53.188,70.801,70.801,10.274
after-v1.2.2,85,850.0,50,0,3.531,4.319,44.745,93.937,93.937,11.186
after-v1.2.2,86,860.0,50,0,3.559,6.028,50.687,77.536,77.536,12.676
after-v1.2.2,87,870.0,50,0,3.39,3.937,46.355,56.397,56.397,7.976
after-v1.2.2,88,880.0,50,0,3.571,4.761,41.156,71.711,71.711,10.175
after-v1.2.2,89,890.0,50,0,3.593,5.473,51.411,74.1,74.1,10.472
after-v1.2.2,90,900.0,50,0,3.588,4.042,59.56,71.38,71.38,9.984
